SH600483	20150529	20230831
SH600486	20150529	20190531
SH600488	20151231	20161130
SH600490	20161230	20230831
SH600491	20150630	20230831
SH600495	20150529	20211130
SH600496	20190628	20230831
SH600499	20200630	20220531
SH600501	20150529	20191129
SH600502	20150529	20230831
SH600503	20190628	20220531
SH600507	20170630	20181130
SH600508	20150529	20230831
SH600510	20200630	20230831
SH600512	20171229	20221130
SH600515	20150529	20170531
SH600517	20190628	20201130
SH600523	20150529	20230831
SH600526	20150529	20190531
SH600527	20150529	20171130
SH600529	20150529	20200529
SH600530	20160630	20171130
SH600531	20150529	20230831
SH600533	20160630	20201130
SH600543	20150529	20161130
SH600546	20171229	20201130
SH600548	20150630	20230531
SH600550	20151231	20230831
SH600552	20150529	20230831
SH600555	20150529	20171130
SH600557	20201231	20230831
SH600559	20150529	20230831
SH600560	20150529	20170531
SH600562	20150529	20230831
SH600565	20150529	20230531
SH600567	20150529	20181130
SH600568	20150529	20200529
SH600569	20150630	20230831
SH600571	20150529	20210531
SH600572	20221230	20230831
SH600575	20210630	20230831
SH600577	20150529	20230831
SH600578	20210630	20230831
SH600581	20180629	20230831
SH600583	20210630	20230831
SH600586	20211231	20230831
SH600587	20191231	20230831
SH600589	20150529	20171130
SH600590	20150529	20230531
SH600592	20150529	20211130
SH600595	20150529	20190531
SH600596	20180731	20230831
SH600601	20190628	20210531
SH600602	20150529	20230831
SH600603	20190628	20211130
SH600604	20150529	20230831
SH600606	20150529	20151130
SH600609	20150529	20160531
SH600610	20220630	20230831
SH600611	20191231	20201130
SH600612	20171229	20230831
SH600613	20151231	20170531
SH600615	20150529	20151130
SH600616	20150630	20190531
SH600618	20190628	20230831
SH600619	20181228	20200529
SH600620	20150529	20180531
SH600621	20150529	20230831
SH600622	20150529	20220531
SH600623	20150529	20160531
SH600624	20150529	20220531
SH600626	20150529	20210531
SH600629	20150630	20181130
SH600630	20150529	20191129
SH600633	20230630	20230831
SH600634	20150630	20180531
SH600635	20190628	20230831
SH600636	20190628	20220531
SH600638	20150529	20200529
SH600639	20220630	20230831
SH600641	20160630	20230831
SH600643	20220630	20230831
SH600645	20220630	20230831
SH600648	20230630	20230831
SH600649	20220630	20230831
SH600650	20150529	20200529
SH600652	20150529	20190531
SH600653	20150529	20171130
SH600657	20220630	20230831
SH600658	20150529	20200529
SH600661	20150529	20191129
SH600662	20150529	20230831
SH600666	20150529	20160531
SH600667	20150529	20200529
SH600668	20150529	20211130
SH600675	20171229	20230831
SH600676	20150529	20211130
SH600677	20150529	20200123
SH600679	20150529	20150529
SH600680	20141031	20170531
SH600681	20171229	20201130
SH600682	20150529	20230831
SH600683	20150630	20170531
SH600684	20150529	20200529
SH600685	20191231	20230831
SH600686	20150529	20220531
SH600687	20150529	20160531
SH600688	20210630	20230831
SH600691	20150529	20230831
SH600692	20150529	20181130
SH600693	20171229	20190531
SH600694	20201231	20221130
SH600695	20150529	20151130
SH600696	20220630	20230831
SH600698	20150529	20161130
SH600701	20150529	20160531
SH600702	20171229	20200930
SH600706	20150529	20150529
SH600707	20160630	20190531
SH600708	20150529	20210531
SH600710	20190628	20230831
SH600711	20150529	20230831
SH600713	20150529	20171130
SH600714	20150529	20151130
SH600715	20181228	20221130
SH600716	20150529	20170531
SH600717	20221230	20230831
SH600720	20180629	20230831
SH600723	20150630	20161130
SH600724	20151231	20171130
SH600726	20150529	20171130
SH600728	20150529	20191129
SH600729	20220630	20230831
SH600730	20150529	20180531
SH600732	20150529	20210531
SH600734	20171229	20200529
SH600735	20150529	20181130
SH600736	20190628	20211130
SH600738	20150529	20220531
SH600740	20150630	20230831
SH600742	20150529	20230831
SH600744	20160630	20181130
SH600745	20150529	20190531
SH600746	20150529	20230831
SH600748	20210630	20230531
SH600750	20191231	20230831
SH600751	20150529	20230831
SH600756	20150529	20211130
SH600758	20170630	20210531
SH600759	20200630	20201130
SH600761	20190628	20230831
SH600763	20150529	20190531
SH600764	20170630	20210226
SH600767	20150529	20170531
SH600770	20201231	20230831
SH600771	20150529	20230831
SH600773	20190628	20230831
SH600775	20150529	20230831
SH600776	20190628	20230831
SH600777	20150529	20230831
SH600778	20150529	20160531
SH600779	20170630	20181130
SH600781	20150529	20191129
SH600782	20150630	20181130
SH600783	20170630	20230831
SH600784	20150529	20180531
SH600785	20150529	20151130
SH600787	20230630	20230831
SH600789	20150529	20230831
SH600790	20190628	20200529
SH600791	20150529	20160531
SH600792	20150630	20161130
SH600794	20150529	20170531
SH600797	20170630	20230831
SH600798	20150630	20201130
SH600800	20150529	20221130
SH600802	20150529	20161130
SH600803	20170630	20210531
SH600807	20160630	20180531
SH600810	20190628	20230831
SH600811	20221230	20230831
SH600812	20171229	20230831
SH600814	20151231	20190531
SH600815	20150630	20161130
SH600818	20150529	20190531
SH600819	20150630	20160531
SH600821	20150529	20230831
SH600822	20150529	20151130
SH600824	20150529	20180531
SH600825	20191231	20220531
SH600828	20170630	20190531
SH600830	20150630	20181130
SH600831	20191231	20211130
SH600833	20150529	20160531
SH600834	20151231	20170531
SH600835	20221230	20230831
SH600836	20150529	20180531
SH600838	20150529	20181130
SH600841	20220630	20230831
SH600843	20150529	20180531
SH600845	20150529	20190531
SH600846	20150529	20220531
SH600848	20161230	20170126
SH600850	20190628	20230831
SH600851	20180629	20210531
SH600855	20150529	20221130
SH600856	20151231	20191129
SH600857	20150529	20161130
SH600858	20150529	20160531
SH600862	20150529	20161130
SH600864	20191231	20230831
SH600865	20150529	20180531
SH600866	20150529	20151130
SH600868	20150529	20210531
SH600869	20220630	20230831
SH600872	20220630	20230831
SH600873	20181228	20221130
SH600874	20201231	20230831
SH600876	20160630	20230831
SH600877	20150529	20230831
SH600882	20150529	20230831
SH600885	20161230	20171130
SH600888	20220630	20230831
SH600891	20150529	20151130
SH600894	20191231	20220531
SH600897	20150529	20201130
SH600903	20220630	20230831
SH600908	20220630	20230831
SH600916	20211231	20230831
SH600929	20181228	20230831
